lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,iowa_originations,florida_originations,total_originations,priority_match,notes
549300W4FT4H1UWPGU95,GREENSTATE Credit Union,,greenstate-credit-union,GreenState Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,10661,0,10661,high,ia_ks_ne_curated map for IA activity (10661 IA originations); slug=greenstate-credit-union.
549300KER3YVZ3U5RK57,VERIDIAN CREDIT UNION,,veridian-credit-union,Veridian Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,6247,0,6247,high,ia_ks_ne_curated map for IA activity (6247 IA originations); slug=veridian-credit-union.
549300ZWA6HRT4N1Z222,Hills Bank and Trust Company,,hills-bank-and-trust,Hills Bank and Trust Company,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,2874,0,2874,high,ia_ks_ne_curated map for IA activity (2874 IA originations); slug=hills-bank-and-trust.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2551,31530,2551,high,reuse_prior_state_curated_lei map for IA activity (2551 IA originations); slug=rocket-mortgage.
549300UXTDELQS5SLF91,DUPACO COMMUNITY,,dupaco-community-credit-union,Dupaco Community Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1990,0,1990,high,ia_ks_ne_curated map for IA activity (1990 IA originations); slug=dupaco-community-credit-union.
549300FSZH0FMQ1T8Y90,IOWA BANKERS MORTGAGE CORPORATION,,iowa-bankers-mortgage,Iowa Bankers Mortgage Corporation,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1849,0,1849,high,ia_ks_ne_curated map for IA activity (1849 IA originations); slug=iowa-bankers-mortgage.
254900CQVBYQI6BDWS96,Community Choice Credit Union,,community-choice-credit-union,Community Choice Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1760,0,1760,high,ia_ks_ne_curated map for IA activity (1760 IA originations); slug=community-choice-credit-union.
549300RBJCM5B02O5U05,Northwest Bank,,northwest-bank-iowa,Northwest Bank,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1743,0,1743,high,ia_ks_ne_curated map for IA activity (1743 IA originations); slug=northwest-bank-iowa.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1593,2279,1593,high,reuse_prior_state_curated_lei map for IA activity (1593 IA originations); slug=us-bank.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1432,3881,1432,high,reuse_prior_state_curated_lei map for IA activity (1432 IA originations); slug=new-american-funding.
